YEAR,Event,Race #,POSITION,DRIVER NAME,SERIES,DAY OF WEEK,MONTH,DAY,TRACK,CITY,STATE,LAPS TOTAL,TRACK MILEAGE FOR ONE LAP,TOTAL SCHEDULED MILES,START,CAR #,SPONSOR / OWNER,CAR MAKE,LAPS COMPLETED,MONEY WON,STATUS,LAPS LED,STAGE 1 RESULT,STAGE 2 RESULT,Total Miles
1949,,1,1,Jim Roper,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,12,34,Mecklenburg Motors (R.B. McIntosh),49 Lincoln,197,2000,running,47,,,147.75
1949,,1,2,Fonty Flock,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,5,47,Grady Cole / Bruce Griffin,49 Hudson,–,1000,running,0,,,#VALUE!
1949,,1,3,Red Byron,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,3,22,Parks Novelty (Raymond Parks),49 Oldsmobile,–,500,running,0,,,#VALUE!
1949,,1,4,Sam Rice,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,14,2,Rice Racing (Sam Rice),49 Oldsmobile,–,300,running,0,,,#VALUE!
1949,,1,5,Tim Flock,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,2,90,Buddy Elliott,49 Oldsmobile,–,200,running,0,,,#VALUE!
1949,,1,6,Archie Smith,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,–,37,Frank Smith,46 Ford,–,175,–,0,,,#VALUE!
1949,,1,7,Sterling Long,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,–,31,Long Racing (Sterling Long),46 Hudson,–,150,–,0,,,#VALUE!
1949,,1,8,Slick Smith,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,–,28,Slick Smith,49 Oldsmobile,–,125,–,0,,,#VALUE!
1949,,1,9,Curtis Turner,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,6,41,Curtis Turner,46 Buick,–,100,–,0,,,#VALUE!
1949,,1,10,Jimmy Thompson,Strictly Stock,Sunday,June,19,Charlotte Speedway,Charlotte,NC,200,0.75,150,–,36,Bruce Thompson,46 Chrysler,–,75,–,0,,,#VALUE!
